time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
1666633.9999999618,0.43989999999999996,3,,,,,,172.99999997999998,,
1666807.0000001695,0.43989999999999996,4,,,,0.0,,,,62026.00000030361
1729012.9999998026,-0.445,1,,,,,,172.99999997999998,,
1729186.0000000102,-0.445,2,,,1121.215544422,,,,404.9999997485429,
1729771.0000003455,-0.4849,3,,,,,,177.9999999,,
1729948.999999836,-0.4849,4,,,,18.883628857,,,,2061.000000871718
1732190.0000000373,-0.6127,1,,,,,,187.99999992,,
1732377.9999999795,-0.6127,2,,,44.539745636000134,,,,8468.000000528991,
1741025.999999838,-0.5822,3,,,,,,185.0000001,,
1741211.0000003362,-0.5822,4,,,,0.0,,,,75310.99999970756
1816702.0000000019,-0.2675,1,,,,,,152.0000001,,
1816854.0000003297,-0.2675,2,,,1706.910114165,,,,483.99999998509884,
1817518.0000002729,-0.331,3,,,,,,160.99999992,,
1817679.00000019,-0.331,4,,,,1174.934613774,,,,7339.0000000130385
1825198.0000001611,-0.7938999999999999,1,,,,,,201.00000006000002,,
1825398.999999999,-0.7938999999999999,2,,,82.40267862199994,,,,1882.9999994952232,
1827462.000000081,-0.7952,3,,,,,,200.00000004,,
1827662.0000003139,-0.7952,4,,,,0.0,,,,17571.999998856336
1845413.999999757,0.5696,1,,,,,,184.00000008,,
1845598.0000000214,0.5696,2,,,1171.600866211,,,,433.9999996125698,
1846212.0000002207,0.594,3,,,,,,187.00000014,,
1846398.9999999292,0.594,4,,,,498.719973351,,,,54164.0000006184
1900742.999999877,0.1459,1,,,,,,132.00000006,,
1900874.9999999302,0.1459,2,,,1584.717596548,,,,7966.000000108033,
1909020.9999999963,-0.40590000000000004,3,,,,,,170.00000015999998,,
1909191.0000001313,-0.40590000000000004,4,,,,86.086667219,,,,16233.999999146909
1925604.999999865,0.3312,1,,,,,,160.99999992,,
1925765.999999782,0.3312,2,,,1579.8085498520002,,,,7129.000000585802,
1933075.000000326,0.7291,3,,,,,,196.99999997999998,,
1933271.9999998575,0.7291,4,,,,0.0,,,,423.00000018440187
1933875.0,0.7758,1,,,,,,200.00000004,,
1934075.0000002328,0.7758,2,,,1486.020486228,,,,557.9999996814877,
1934812.9999998724,0.8112,3,,,,,,201.99999984,,
1935014.9999999441,0.8112,4,,,,0.0,,,,388.00000017508864
1935583.0000000773,0.8347,1,,,,,,202.99999986,,
1935785.9999997541,0.8347,2,,,708.611500192,,,,392.00000048149377,
1936358.0000001937,0.8583999999999999,3,,,,,,205.00000014,,
1936563.000000338,0.8583999999999999,4,,,,0.0,,,,27738.99999987334
1964482.0000001695,-0.5502,1,,,,,,183.00000006,,
1964665.0000002002,-0.5502,2,,,293.2402135689999,,,,307.999999076128,
1965152.999999863,-0.46449999999999997,3,,,,,,176.0000001,,
1965329.0000001434,-0.46449999999999997,4,,,,0.0,,,,7654.999999701977
1973163.9999998035,0.2276,1,,,,,,147.0,,
1973311.0000002198,0.2276,2,,,1364.721195965,,,,404.9999997485429,
1973895.9999999264,0.2439,3,,,,,,148.99999986,,
1974045.0000001816,0.2439,4,,,,851.35880351,,,,657.9999991692603
1974882.9999999376,0.2659,1,,,,,,153.00000012,,
1975035.9999998705,0.2659,2,,,0.0,,,,5353.999999305233,
1980569.9999997625,0.3471,3,,,,,,162.99999996,,
1980733.0000001471,0.3471,4,,,,111.560969484,,,,292.9999999701977
1981206.0000000754,0.3524,1,,,,,,163.99999998,,
1981370.0000000652,0.3524,2,,,0.0,,,,7792.000000295229,
1989342.0000003185,0.18460000000000001,3,,,,,,139.99999979999998,,
1989481.9999997271,0.18460000000000001,4,,,,1268.737382431,,,,414.9999995715916
1990076.9999998854,0.12140000000000001,1,,,,,,124.99999986,,
1990202.0000001881,0.12140000000000001,2,,,0.0,,,,9248.00000055693,
1999630.0000000745,-0.5075,3,,,,,,178.99999992,,
